category,bariba,french
Salutations et politesse,"Aagu wunɛ ka weru. Yeegu, kpasi ka wureba. Les Kpasi et les Wure.",Bonne arrivée !
Salutations et politesse,"bien-être, bonne santé. U ben alaafia mɛɛribu da. A kpuna n do ?",Il est allé voir leur état de santé. As-tu bien dormi ? Comment ça va? Très bien.
Salutations et politesse,I turi baani :,Bon voyage !
Salutations et politesse,I bii wi derio ka win atafiiru.,"Laissez cet enfant, il se moque des gens. ."
Salutations et politesse,"père, géniteur, papa. Bɔnin baawa u bii gɔrima. les oncles paternels, Na nɛn baaba tɔbiribu da. Kpuna n do baa.",C'est le papa de Boni qui a envoyé un enfant. Je suis allé saluer mes oncles paternels. Bonjour papa.
Salutations et politesse,Win sankiraru ta banna.,Son impolitesse a dépassé les bornes.
Salutations et politesse,"Gura yàn na, na ra nɛn bara soobunu doke.","S'il pleut, je porte mes chaussures en bois. bàra soobuwa. bàra soobunu. bàra soobuna."
Salutations et politesse,"Ba durɔ wi yɔ̃ su gandian di, sa baruka kua.",". On a libéré cet homme de prison, Dieu merci."
Salutations et politesse,"Na siara, wunɛ ka beruseru.",Merci pour ton sens de bonne compagnie.
Salutations et politesse,"Yè a mö kpuro, ade an tɔnun bɛ̀ɛrɛ mɔ. bɛ̀ɛrɛ mɔ.","reconnaître les règles de politesse, être respectueux envers. . Quel que soit ce que tu fais, tâche de respecter l'autre."
Salutations et politesse,"Bom mùn wãa, kon soru nɔ.",S'il y a du lait je vais boire la bouillie. .
Salutations et politesse,U man bɔɔsia u sere yara.,Il m’a dit bonjour avant de sortir :
Salutations et politesse,Bɔɔsiabu sɔɔra yɛnu yɛ̃ ro u rawa goo ù n barɔ.,"C’est en saluant sa maisonnée le matin, que le chef de famille se rend compte s'il y a un malade dans la maison."
Salutations et politesse,"Bintu, a do awunɛn tundo bɔɔsiamaBintou, va saluer ton père, puis reviens.",.
Salutations et politesse,"Daadowa u Bwĩɔ swĩimarusinaa sɔɔ . daagin sooro [da›a›gìǹ sooro›]moustiquaire. Bwɛ̃ɛ yù n banda, kon daagin sooro sure. daagin soorowa daagin sooroba daagin soorobara.","Daado vient après Bougnon suivant le rang de naissance : S'il y a beaucoup de moustiques, je vais descendre la moustiquaire."
Salutations et politesse,Ye u wuu dua ma bukurobu ba nɛɛ ù dam ko.,Quand il est entré dans le village les notables lui ont souhaité la bienvenue.
Salutations et politesse,"Tɔn be, ba koo gisɔ dom se ka barɔ wi. Bɛɛ ka dom serubu.",Ces gens là vont veiller avec le malade. dom serubu [dom serubu]action de veiller. Salut pour la veillée !
Salutations et politesse,"Bà n yina i sina mi, i doonama mi gian di fuuku.","S'ils vous refusent de rester là-bas, quittez vite et revenez ici."
Salutations et politesse,"Gura yàn kɔmia nde gisɔku ge, wɛ̃ɛ duurubu bukoo sɛ̃ sia.","S'il manque de pluie comme cette année, il sera difficile de semer le coton."
Salutations et politesse,Gura yàn nnaa gbere ni duuruma a sere wuma.,"S'il pleut, il faut semer le maïs avant de renter."
Salutations et politesse,"A naa man 93 faaba kowo fara fara faaba ko, Woru. Bɛɛ ka faaba.","Viens me secourir, Worou. Merci de votre secours (aide):"
Salutations et politesse,Bɛsɛ ka faagi.,Merci pour la conversation.
Salutations et politesse,"Bɛsɛ, ka faayi nɔö.","Salut pour la conversation, causerie 2) récit, action de plaisanter."
Salutations et politesse,"I man gaafara kuo. Gaafara, a dumma. 98 gaaga gaba Entre.",Excusezmoi! employé dans les salutations par le supérieur pour donner le signe de se relever; pour demander la permission d'entrer ou de parler. Excusez!
Salutations et politesse,"À kun wunɛn toraru yɛ̃ , gem kanabu bu sɛ̃ .",Si tu ne reconnais :
Salutations et politesse,"Bii wi u gem mɔ, kam sɔɔra ba wii so. employé 106 gem wɛ̃ gɛbiri pour s'excuser. A gem mɔ, na ǹ maa sia wuremɔ.","L'enfant a raison, on l'a frappé pour rien. Pardon, je ne vais plus recommencer."
Salutations et politesse,"Sunɔ, a man ìsa kuo.","Chef, excuse-moi."
Salutations et politesse,"Sabi ka Biɔ ba gberu da. Yè uka gu, yen sɔ̃ɔ yiruwa mi. Na ǹ nande ka Gunun gari. Bɛɛ ka yoka. Wɔkura nɔɔbu ka tia :","coord. Chabi et Bio sont allés au hamps. depuis que. Depuis qu'il est mort, cela fait deux jours3) pour. Je n'ai 4) sert pour les salutations. Bonsoir à vous. et (sert à additionner les chiffres). Seize."
Salutations et politesse,Sibu ba da ba sun sunɔ suuru kanari ni. U da u sun sɔnkɔrɔ gobi kanari gbɛnum.,Ils sont allés damander pardon au chef sans nous. demander contre le gré de quelqu'un. Il est allé demander de l'argent au député discrètement. . .
Salutations et politesse,"I n kanasimɔ, baa ù n yinamɔ.",. . Suppliez-le même s'il refuse.
Salutations et politesse,U kɛkɛ tenku dua uka yaburu da.,Il a pris un taxi pour aller au marché.
Salutations et politesse,Wunɛ ka mwia yè.,Salutation à quelqu'un qui est en train de fournir un gros effort.
Salutations et politesse,Bɔnan naaru ta dora.,L’arrivée de Bona est la bienvenue.
Salutations et politesse,Naa tebon nɛnubu bu sãawa dɔɔnɛn gari. Wunɛ ka nɛnubu.,"Tenir la houe est une question d'habitude. Merci pour le fait que tu l'as gardé. éducation, fait d’élever un enfant."
Salutations et politesse,"ù n win tebo nɔmu bɛri, u ku ra wɛ̃ re sere yoka.","S'il saisit sa houe, il ne se repose que le soir."
Salutations et politesse,"Nɔɔ gàn nɛra, sa ko suunu sɔbe. Ces gens tɔn be, ba nɔɔ nɛra tɛ̃ , goo kun maa ka goo sikirinamɔ. Tontonden diya guunu nu rà n nɔɔ nɛ.","Si nous nous entendons, nous pourrons porter ensemble un éléphant entier. Ces gens-là ce sont accordé le pardon ils ne se discutent plus. être égalisé à la même hauteur, au même niveau. C'est de loin que les montagnes ont une vue rectiligne."
Salutations et politesse,Bɛsɛ ka nɔru. Nim nɔru ga man mö.,Salutation pour gens qui jeunent pendant le ramadan. J'ai soif.
Salutations et politesse,A doo yararibun mi bàn dee kpùra mɔ.,Va voir chez les bouchers s'ils ont du sang coagulé.
Salutations et politesse,A kpam do a nùn wa ù n yanda.,Va de nouveau voir s'il s'est réveillé.
Salutations et politesse,Bɛɛ ka kparabu.,Merci de nous guider sur le chemin de Dieu.
Salutations et politesse,Wunɛ ka yãanun kparabu.,Merci de faire paître les moutons.
Salutations et politesse,Kpeebeeri a sun bɛsɛn gɔba suuru kuo.,Dieu pardonne nous nos péchés.
Salutations et politesse,A n mö kpurɛ kpurɛ ka duma ye. A tii mɛɛra kua?,"avec attention, précaution. Manipule le cheval avec précaution . salutation quand on se blesse, se heurte. Tu t'es blessé ?"
Salutations et politesse,"À n sɔmburu kua à n wasira, sere a kpuna. Akpuna n do ?","Si tu es fatigué de travailler, tu dois te coucher. As-tu bien dormi? Bonjour! salutation pour le matin)nacc."
Salutations et politesse,A n da ka wunɛn wãaru saabu ko.,Sache rendre grâce pour ta vie.
Salutations et politesse,"Bɛɛ, ka sãkiru.",Salut relatif à la veillée.
Salutations et politesse,"Bɛɛ, ka sãkubu.",Merci pour la compagnie.
Salutations et politesse,Bɛɛ ka dom serubu.,Salut pour le sommeil que vous n'avez :
Salutations et politesse,"Gura yàn na, kon sɛ̃ ra duure. sɛ̃ raa sɛ̃ ri.","sa fleur est employée dans la sauce. S'il pleut, je vais semer l'oseille de Guinée."
Salutations et politesse,"Gura yàn na, sa ko sia gberenu duure.","S'il pleut, nous sèmerons le maïs demain."
Salutations et politesse,Na wunɛn kɛ̃ɛte siara.,Je suis content de ton cadeau.
Salutations et politesse,N ǹ maa ka yen siarabu.,Même :
Salutations et politesse,A do a wii siarama. 228 siarana sĩira,Va le remercier et reviensinacc.
Salutations et politesse,U man nɛn wɛrɔ nég.,Il apprécie mon ennemi à mon insu.
Salutations et politesse,"Yè nɛn bɔrɔu man gobi kã, yera na wii siarasia.",Lorsque mon ami m'a donné de l'argent je l'ai fais remercier.
Salutations et politesse,I ku dɔkɔ yen nim sora kpuro.,vider pour nettoyer ou pour pêcher s'il s'agit d'un marigot. Ne videz :
Salutations et politesse,"Yaayi, a seewo su gberu doona, sɔ̃ɔ u yewa mi. Ka sɔ̃ɔ 'salutation pour quelqu'un qui voyage sous le soleil'. Sɔ̃ɔ yiruwa u kua wuu mi. Bɛsɛ ka sɔ̃ɔ yiru. sɔ̃ɔwa— 2) saison. sɔ̃ɔ u sãra.","soleil. Maman, lève-toi, nous irons au champ, le soleil brille. jour. Il a passé deux jours dans cette localité . Salutation à quelqu'un qu'on n'a » : La saison sèche est arrivée."
Salutations et politesse,Yandunia sere suuru.,"Dans le monde, il faut faire preuve de patience."
Salutations et politesse,U na ù nun suuru kana.,Il est venu te demander pardon.
Salutations et politesse,"Gura yàn na, sa ko taasoru da. tàasɔnu / sàasɔnu / tàn","S'il pleut, nous irons à la chasse."
Salutations et politesse,"Kɛ̃ɛ tè ta ǹ takaru mɔ, warara.",Le don pour lequel on ne remercie :
Salutations et politesse,Gusunɔ ura toro suuru kue. Bikio kùn toro.,Coupable. Dieu pardonne le pécheur. celui qui a tord. Celui qui demande n'a :
